airport_name,airport_kr_name,airport_iata_code,airport_iso_country,airport_continent
Rennell/Tingoa Airport,레넬/팅고아 공항,RNL,SB,OC
Sege Airport,세게 공항,EGM,SB,OC
Santa Ana Airport,산타아나 공항,NNB,SB,OC
Marau Airport,마라우 공항,RUS,SB,OC
Suavanao Airport,수아바나오 공항,VAO,SB,OC
Yandina Airport,얀디나 공항,XYA,SB,OC
Kaghau Airport,카가우 공항,KGE,SB,OC
Kukudu Airport,쿠쿠두 공항,KUE,SB,OC
Kwailabesi Airport,콰일라베시 공항,KWS,SB,OC
Wanigela Airport,와니겔라 공항,AGL,PG,OC
Lomlom Airport,롬롬 공항,LLM,SB,OC
Nana Airport,나나 공항,NAZ,SB,OC
Manaoba Airport,마나오바 공항,MHM,SB,OC
Ringi Cove Airport,코브 공항 주변,RIN,SB,OC
Ramata Airport,람타 공항,RBV,SB,OC
Argyle Downs Airport,아가일 다운스 공항,AGY,AU,OC
Hongyuan Airport,홍위안 공항,AHJ,CN,AS
Ambatolhy Airport,암바톨리 공항,AHY,MG,AF
Aiome Airport,아이오메 공항,AIE,PG,OC
Aiambak Airport,아이암박 공항,AIH,PG,OC
Ailinglaplap Airok Airport,아일링랩랩 에어록 공항,AIC,MH,OC
Chena Hot Springs Airport,체나 온천 공항,CEX,US,NA
Herendeen Bay Airport,헤렌딘 베이 공항,HED,US,NA
Taylor Airport,테일러 공항,TWE,US,NA
Candle 2 Airport,캔들 2 공항,CDL,US,NA
Boswell Bay Airport,보스웰 베이 공항,BSW,US,NA
Zakuoma Airport,자쿠오마 공항,AKM,TD,AF
Alto Molocue Airport,알토 몰로쿠에 공항,AME,MZ,AF
Ama Airport,아마 공항,AMF,PG,OC
Amanab Airport,아마나브 공항,AMU,PG,OC
Ambatomainty Airport,암바토마인티 공항,AMY,MG,AF
Nauru International Airport,나우루 국제공항,INU,NR,OC
Angus Downs Airport,앵거스 다운스 공항,ANZ,AU,OC
Catoca Airport,카토카 공항,CTV,AO,AF
Andulo Airport,안둘로 공항,ANL,AO,AF
Cangamba Airport,칸감바 공항,CNZ,AO,AF
Dirico Airport,디리코 공항,DRC,AO,AF
Capanda Airport,카판다 공항,KNP,AO,AF
N'dalatando Airport,은달라탄도 공항,NDF,AO,AF
Annanberg Airport,아난버그 공항,AOB,PG,OC
Asapa Airport,아사파 공항,APP,PG,OC
April River Airport,에이프릴 리버 공항,APR,PG,OC
Girdwood-Alyeska Airport,거드우드-알리에스카 공항,AQY,US,NA
Bragado Airport,브라가도 공항,QRF,AR,SA
Caleta Olivia Airport,칼레타 올리비아 공항,CVI,AR,SA
Charata Airport,차라타 공항,CNT,AR,SA
General Villegas Airport,제너럴 빌가스 공항,VGS,AR,SA
Los Menucos Airport,로스 메누코스 공항,LMD,AR,SA
Valcheta Airport,발체타 공항,VCF,AR,SA
Sunchales Aeroclub Airport,순찰레스 에어로클럽 공항,NCJ,AR,SA
Carmen de Patagones Airport,카르멘 데 파타고네스 공항,CPG,AR,SA
Colonia Sarmiento Airport,콜로니아 사르미엔토 공항,OLN,AR,SA
Aragip Airport,아라집 공항,ARP,PG,OC
Asirim Airport,아시림 공항,ASZ,PG,OC
Namatanai Airport,나마타나이 공항,ATN,PG,OC
Aitape Airport,아이타페 공항,ATP,PG,OC
Gruyere Airport,그뤼에르 공항,GYZ,AU,OC
Karara Airport,카라라 공항,KQR,AU,OC
Alpha Airport,알파 공항,ABH,AU,OC
Agnew Airport,애그뉴 공항,AGW,AU,OC
Alroy Downs Airport,앨로이 다운스 공항,AYD,AU,OC
Baniyala Airport,바니얄라 공항,BYX,AU,OC
Coolibah Airport,쿨리바 공항,COB,AU,OC
Coorabie Airport,쿠라비 공항,CRJ,AU,OC
Carlton Hill Airport,칼튼힐 공항,CRY,AU,OC
Cresswell Downs Airport,크레스웰 다운스 공항,CSD,AU,OC
Diamantina Lakes Airport,지아만티나 레이크 공항,DYM,AU,OC
Helenvale Airport,헬렌베일 공항,HLV,AU,OC
Kimberley Downs Airport,킴벌리 다운스 공항,KBD,AU,OC
Kulgera Airport,쿨게라 공항,KGR,AU,OC
Camballin Airport,캠발린 공항,MYO,AU,OC
Orchid Beach Airport,오키드 비치 공항,OKB,AU,OC
Peppimenarti Airport,페피나르티 공항,PEP,AU,OC
Rockhampton Downs Airport,록햄프턴 다운스 공항,RDA,AU,OC
Sturt Creek Airport,스튜어트 크릭 공항,SSK,AU,OC
Shaw River Airport,쇼 리버 공항,SWB,AU,OC
Tom Price Airport,톰프라이스 공항,TPR,AU,OC
Torwood Airport,토우드 공항,TWP,AU,OC
Springvale Airport,스프링베일 공항,ZVG,AU,OC
Aua Island Airport,아우아 아일랜드 공항,AUI,PG,OC
Ambunti Airport,암분티 공항,AUJ,PG,OC
Agaun Airport,아가운 공항,AUP,PG,OC
Aumo Airport,아우모 공항,AUV,PG,OC
Alowe Airport,알로웨 공항,AWE,GA,AF
Pantar Kabir Airport,판타르 카비르 공항,AXO,ID,AS
Kompiam Airport,콤피암 공항,KPM,PG,OC
Buka Airport,오픈 에어포트,BUA,PG,OC
Biaru Airport,비아루 공항,BRP,PG,OC
Chimbu Airport,침부 공항,CMU,PG,OC
Munduku Airport,문두쿠 공항,MDM,PG,OC
Kondobol Airport,콘도볼 공항,KPF,PG,OC
Dinangat Airport,디낭가트 공항,DNU,PG,OC
Doini Airport,도이니 공항,DOI,PG,OC
Daru Airport,다루공항,DAU,PG,OC
Embessa Airport,엠베사 공항,EMS,PG,OC
Edwaki Airport,에드와키 공항,XYR,PG,OC
Eliptamin Airport,엘립타민 공항,EPT,PG,OC
Erume Airport,에루메 공항,ERU,PG,OC
Meselia Airport,메셀리아 공항,MFZ,PG,OC
Feramin Airport,페라민 공항,FRQ,PG,OC
Frieda River Airport,프리다 리버 공항,FAQ,PG,OC
Fuma Airport,푸마 공항,FUM,PG,OC
Goroka Airport,고로카 공항,GKA,PG,OC
Guari Airport,구아리 공항,GUG,PG,OC
Garasa Airport,가라사 공항,GRL,PG,OC
Gurney Airport,거니 공항,GUR,PG,OC
Gusap Airport,구삽공항,GAP,PG,OC
Girua Airport,기루아 공항,PNP,PG,OC
Habi Airport,하비 공항,HBD,PG,OC
Heiweni Airport,헤이웨니 공항,HNI,PG,OC
Honinabi Airport,호니나비 공항,HNN,PG,OC
Hoskins Airport,호스킨스 공항,HKN,PG,OC
Haivaro Airport,하이바로 공항,HIT,PG,OC
Imane Airport,이마네 공항,IMN,PG,OC
Kungim Airport,건김공항,KGM,PG,OC
Imonda Airport,이몬다 공항,IMD,PG,OC
Aropa Airport,아로파 공항,KIE,PG,OC
Ialibu Airport,이알리부 공항,IAL,PG,OC
Witu Airport,위투 공항,WIU,PG,OC
Yongai Airport,용가공항,KGH,PG,OC
Losuia Airport,로스이아 공항,LSA,PG,OC
Kopiago Airport,코피아고 공항,KPA,PG,OC
Kiunga Airport,키운가 공항,UNG,PG,OC
Kanainj Airport,카나인 공항,KNE,PG,OC
Kikori Airport,키코리 공항,KRI,PG,OC
Kar Kar Airport,카르카르 공항,KRX,PG,OC
Kuri Airport,구리 공항,KUQ,PG,OC
Kavieng Airport,카비엥 공항,KVG,PG,OC
Londolovit Airport,론돌로비트 공항,LNV,PG,OC
Lab Lab Airport,랩 랩 공항,LAB,PG,OC
Lowai Airport,로와이 공항,LWI,PG,OC
Leron Plains Airport,레론 플레인스 공항,LPN,PG,OC
Long Island Airport,롱아일랜드 공항,LSJ,PG,OC
Manari Airport,마나리 공항,MRM,PG,OC
Morobe Airport,모로베 공항,OBM,PG,OC
Madang Airport,마당 공항,MAG,PG,OC
Mount Hagen Kagamuga Airport,마운트하겐 카가무가 공항,HGU,PG,OC
Mougulu Airport,무굴루 공항,GUV,PG,OC
Mendi Airport,멘디 공항,MDU,PG,OC
Momote Airport,모모테 공항,MAS,PG,OC
Moro Airport,모로 공항,MXH,PG,OC
Misima Island Airport,미시마섬 공항,MIS,PG,OC
Marawaka Airport,마라와카 공항,MWG,PG,OC
Nankina Airport,난징 공항,NKN,PG,OC
Negarbo(Negabo) Airport,네가보 (네가보) 공항,GBF,PG,OC
Manguna Airport,리드 공항,MFO,PG,OC
Kasonombe Airport,카소놈베 공항,KSB,PG,OC
Nomane Airport,노마네 공항,NMN,PG,OC
Nambaiyufa Airport,남바이유파 공항,NBA,PG,OC
Nadzab Airport,나자브 공항,LAE,PG,OC
Konge Airport,킹 공항,KGB,PG,OC
Oksapmin Airport,옥삽민 공항,OKP,PG,OC
Komako Airport,코마코 공항,HOC,PG,OC
Komaio Airport,코마이오 공항,KCJ,PG,OC
Koroba Airport,코로바 공항,KDE,PG,OC
Open Bay Airport,오픈베이 공항,OPB,PG,OC
Pangoa Airport,판고아 공항,PGB,PG,OC
Pangia Airport,판자 공항,PGN,PG,OC
Mapoda Airport,마포다 공항,MPF,PG,OC
Pumani Airport,숨쉬다 공항,PMN,PG,OC
Port Moresby Jacksons International Airport,포트모르즈비 잭슨스 국제공항,POM,PG,OC
Sopu Airport,소푸 공항,SPH,PG,OC
Sialum Airport,시알룸 공항,SXA,PG,OC
Rumginae Airport,룸기나에 공항,RMN,PG,OC
Karimui Airport,카리무이 공항,KMR,PG,OC
Maramuni Airport,마라무니 공항,MWI,PG,OC
Suabi Airport,수아비 공항,SBE,PG,OC
Simberi Airport,심베리 공항,NIS,PG,OC
Sabah Airport,사바 공항,SBV,PG,OC
Simbai Airport,심바이 공항,SIM,PG,OC
Selbang Airport,셀방 공항,SBC,PG,OC
Sepik Plains Airport,세픽 플레인스 공항,SPV,PG,OC
Sauren Airport,사우렌 공항,SXW,PG,OC
Tabubil Airport,타부빌 공항,TBG,PG,OC
Tapini Airport,타피니 공항,TPI,PG,OC
Tokua Airport,토쿠아 공항,RAB,PG,OC
Tep Tep Airport,텝텝 공항,TEP,PG,OC
Tsewi Airport,츠위 공항,TSW,PG,OC
Tarakbits Airport,타라비트 공항,TRJ,PG,OC
Tawa Airport,타와 공항,TWY,PG,OC
Tekadu Airport,테카두 공항,TKB,PG,OC
Aiyura Airport,아이유라 공항,AYU,PG,OC
Uroubi Airport,우루비 공항,URU,PG,OC
Upiara Airport,우피아라 공항,UPR,PG,OC
Uvol Airport,우볼 공항,UVO,PG,OC
Talasea Airport,탈라시 공항,TLW,PG,OC
Torembi Airport,토렘비 공항,TCJ,PG,OC
Vanimo Airport,바니모 공항,VAI,PG,OC
Tonu Airport,스틸 에어포트,TON,PG,OC
Wabo Airport,와보 공항,WAO,PG,OC
Wapenamanda Airport,와펜나만다 공항,WBM,PG,OC
Wawoi Falls Airport,와워이 폴스 공항,WAJ,PG,OC
Wewak International Airport,웨와크 국제공항,WWK,PG,OC
Wonenara Airport,워네나라 공항,WOA,PG,OC
Wakunai Airport,와쿠나이 공항,WKN,PG,OC
Wasu Airport,기타 공항,WSU,PG,OC
Woitape Airport,와이타페 공항,WTP,PG,OC
Wau Airport,나는 공항,WUG,PG,OC
Yeva Airport,예바 공항,YVD,PG,OC
Sim Airport,심 공항,SMJ,PG,OC
Weam Airport,윔 공항,WEP,PG,OC
Yalumet Airport,얄루메트 공항,KYX,PG,OC
Wasum Airport,와숨 공항,WUM,PG,OC
Zabrat Airport,자브라트 공항,ZXT,AZ,AS
Fuzuli International Airport,푸줄리 국제공항,FZL,AZ,AS
Amazon Bay Airport,아마존 베이 공항,AZB,PG,OC
Zhenjiang Dalu Airport,전장 다루 공항,AZJ,CN,AS
Bali Airport,발리 공항,BAJ,PG,OC
Bambu Airport,밤부 공항,BCP,PG,OC
Benguera Island Airport,벤구에라 아일랜드 공항,BCW,MZ,AF
Milyakburra Airport,밀리약부라 공항,BCZ,AU,OC
Willmar Municipal Airport John L Rice Field (2006),윌마 시립 공항 존 L 라이스 필드(2006),ILL,US,NA
Baindoung Airport,바인둥 공항,BDZ,PG,OC
Aasiaat Airport,아시아트 공항,JEG,GL,NA
Narsarsuaq Airport,나르사수아크 공항,UAK,GL,NA
Neerlerit Inaat Airport,니를레리트 이나트 공항,CNP,GL,NA
Nuuk Airport,누크 공항,GOH,GL,NA
Ilulissat Airport,일루리사트 공항,JAV,GL,NA
Kulusuk Airport,쿨루숙 공항,KUS,GL,NA
Maniitsoq Airport,마니초크 공항,JSU,GL,NA
Paamiut Airport,파미우트 공항,JFR,GL,NA
Qaanaaq Airport,카나크 공항,NAQ,GL,NA
Kangerlussuaq Airport,칸게를루수아크 공항,SFJ,GL,NA
Sisimiut Airport,시시미우트 공항,JHS,GL,NA
Upernavik Airport,우퍼나비크 공항,JUV,GL,NA
Qaarsut Airport,카르수트 공항,JQA,GL,NA
Brighton Downs Airport,브라이튼 다운스 공항,BHT,AU,OC
Akureyri Airport,아쿠레이리 공항,AEY,IS,EU
Bildudalur Airport,빌두달루르 공항,BIU,IS,EU
Hjaltabakki Airport,히얄타바키 공항,BLO,IS,EU
Holt Airport,홀트 공항,FLI,IS,EU
Keflavik International Airport,케플라비크 국제공항,KEF,IS,EU
Rif Airport,리프 공항,OLI,IS,EU
Reykjavik Airport,레이캬비크 공항,RKV,IS,EU
Vestmannaeyjar Airport,베스트마나에야르 공항,VEY,IS,EU
Baleela Airport,발레엘라 공항,BJE,SD,AF
Bahja Airport,바자 공항,BJQ,OM,AS
Bomai Airport,보마이 공항,BMH,PG,OC
Bamburi Airport,밤부리 공항,BMQ,KE,AF
Bamu Airport,바무 공항,BMZ,PG,OC
Bodinumu Airport,보디누무 공항,BNM,PG,OC
Bundi Airport,번디 공항,BNT,PG,OC
Rurrenabaque Airport,루레나바케 공항,RBQ,BO,SA
Baures Airport,바우레스 공항,BVL,BO,SA
Brookings Airport,브루킹스 공항,BOK,US,NA
Bosset Airport,보셋 공항,BOT,PG,OC
Boang Airport,보아 공항,BOV,PG,OC
Pedro Vieira Moreira Airport,페드로 비에이라 모레이라 공항,CJZ,BR,SA
Alenquer Municipal Airport,알렌케르 시립공항,ALT,BR,SA
Bensbach Airport,벤스바흐 공항,BSP,PG,OC
Besakoa Airport,베사코아 공항,BSV,MG,AF
Betong International Airport,베통 국제공항,BTZ,TH,AS
Bulolo Airport,불롤로 공항,BUL,PG,OC
Esperadinha Airport,에스페라디냐 공항,BVR,CV,AF
Hukuntsi Airport,후쿤치 공항,HUK,BW,AF
Bewani Airport,베와니 공항,BWP,PG,OC
Bunsil Airport,분실공항,BXZ,PG,OC
Boundary Airport,경계 공항,BYA,US,NA
Bella Yella Airport,벨라 옐라 공항,BYL,LR,AF
Big Creek Airport,빅 크릭 공항,BGK,BZ,NA
Caye Caulker Airport,케이 콜커 공항,CUK,BZ,NA
Caye Chapel Airport,케이 채플 공항,CYC,BZ,NA
Corozal Municipal Airport,코로잘 시립공항,CZH,BZ,NA
Dangriga Airport,단그리가 공항,DGA,BZ,NA
Independence Airport,인디펜던스 공항,INB,BZ,NA
Melinda Airport,멜린다 공항,MDB,BZ,NA
Orange Walk Airport,오렌지 워크 공항,ORZ,BZ,NA
Placencia Airport,플라센시아 공항,PLJ,BZ,NA
Punta Gorda Airport,푼타 고르다 공항,PND,BZ,NA
Sartaneja Airport,사르타네자 공항,SJX,BZ,NA
John Greif II Airport,존 그리프 2세 공항,SPR,BZ,NA
Matthew Spain Airport,매튜 스페인 공항,SQS,BZ,NA
Santa Cruz Airport,산타 크루즈 공항,STU,BZ,NA
Silver Creek Airport,실버 크릭 공항,SVK,BZ,NA
Sir Barry Bowen Municipal Airport,배리 보웬 경 시립공항,TZA,BZ,NA
Bazaruto Island Airport,바자루토아일랜드 공항,BZB,MZ,AF
Bemolanga Airport,베모랑가 공항,BZM,MG,AF
Primrose Airport,프림로즈 공항,PFM,CA,NA
Saglek Airport,사글렉 공항,YSV,CA,NA
Paradise Skypark Airport,파라다이스 스카이파크 공항,PYS,US,NA
Trail Airport,트레일 공항,YZZ,CA,NA
Merritt Airport,메리트 공항,YMB,CA,NA
Chilko Lake (Tsylos Park Lodge) Airport,칠코 레이크(실로스 파크 로지) 공항,CJH,CA,NA
Anahim Lake Airport,애너하임 레이크 공항,YAA,CA,NA
Douglas Lake Airport,더글라스 레이크 공항,DGF,CA,NA
Duncan Airport,던컨 공항,DUQ,CA,NA
Sechelt-Gibsons Airport,세첼트-깁슨 공항,YHS,CA,NA
Qualicum Beach Airport,퀄리컴비치 공항,XQU,CA,NA
Port McNeill Airport,포트맥네일 공항,YMP,CA,NA
Cache Creek-Ashcroft Regional Airport,캐시 크리크-애시크로프트 지역공항,YZA,CA,NA
Bella Bella (Campbell Island) Airport,벨라 벨라(캠벨 아일랜드) 공항,ZEL,CA,NA
Cherrabun Airport,체라분 공항,CBC,AU,OC
Alberni Valley Regional Airport,앨버니 밸리 지역공항,YPB,CA,NA
Bob Quinn Lake Airport,밥 퀸 레이크 공항,YBO,CA,NA
Tungsten (Cantung) Airport,텅스텐(칸퉁) 공항,TNS,CA,NA
Tumbler Ridge Airport,텀블러 리지 공항,TUX,CA,NA
Williams Harbour Airport,윌리엄스 하버 공항,YWM,CA,NA
Postville Airport,포스트빌 공항,YSO,CA,NA
Black Tickle Airport,블랙 티클 공항,YBI,CA,NA
Charlottetown Airport,샬럿타운 공항,YHG,CA,NA
St. Lewis (Fox Harbour) Airport,세인트루이스(폭스하버) 공항,YFX,CA,NA
Port Hope Simpson Airport,포트 호프 심슨 공항,YHA,CA,NA
Rigolet Airport,리골레 공항,YRG,CA,NA
Kasongo-Lunda Airport,카송고-룬다 공항,KGN,CD,AF
George T Lewis Airport,조지 T 루이스 공항,CDK,US,NA
Diavik Airport,디아빅 공항,DVK,CA,NA
Fairview Airport,페어뷰 공항,ZFW,CA,NA
Jasper-Hinton Airport,재스퍼-힌턴 공항,YJP,CA,NA
Drayton Valley Industrial Airport,드레이튼 밸리 산업공항,YDC,CA,NA
Fort McMurray / Mildred Lake Airport,포트 맥머리 / 밀드레드 레이크 공항,NML,CA,NA
Conklin (Leismer) Airport,콘클린(리스머) 공항,CFM,CA,NA
St. Paul Airport,세인트 폴 공항,ZSP,CA,NA
Kavadja Airport,카바자 공항,KWD,CF,AF
Taltheilei Narrows Airport,탈테일레이 내로우스 공항,GSL,CA,NA
Macmillan Pass Airport,맥밀란 패스 공항,XMP,CA,NA
Great Bear Lake Airport,그레이트 베어 레이크 공항,DAS,CA,NA
Donnelly Airport,도넬리 공항,YOE,CA,NA
Cheadle Airport,치들 공항,TIL,CA,NA
Okoyo Airport,오코요 공항,OKG,CG,AF
Cape Gloucester Airport,케이프 글로스터 공항,CGC,PG,OC
Casiguran Airport,카시구란 공항,CGG,PH,AS
Circle Hot Springs Airport,서클핫스프링스 공항,CHP,US,NA
Laurie River Airport,로리 리버 공항,LRQ,CA,NA
Hatchet Lake Airport,해칫 레이크 공항,YDJ,CA,NA
Kasba Lake Airport,카스바 레이크 공항,YDU,CA,NA
Cluff Lake Airport,클러프 레이크 공항,XCL,CA,NA
Knee Lake Airport,니 레이크 공항,YKE,CA,NA
Summer Beaver Airport,서머 비버 공항,SUR,CA,NA
Crooked Creek Airport,크룩크릭 공항,CKD,US,NA
Tisdale Airport,티스데일 공항,YTT,CA,NA
Wapekeka Airport,와페케카 공항,YAX,CA,NA
Wunnumin Lake Airport,운누민 호수 공항,WNN,CA,NA
Opapimiskan Lake Airport,오피미스칸 호수 공항,YBS,CA,NA
North Spirit Lake Airport,노스 스피릿 레이크 공항,YNO,CA,NA
Cordova Municipal Airport,코르도바 시립공항,CKU,US,NA
North of Sixty Airport,식스티 공항 북쪽,YDW,CA,NA
Chicken Airport,치킨 공항,CKX,US,NA
Caia Airport,카이아 공항,CMZ,MZ,AF
Zhangjiakou Ningyuan Airport,장자커우 닝위안 공항,ZQZ,CN,AS
Baoshan Yunrui Airport,바오산 윤루이 공항,BSD,CN,AS
Lincang Boshang Airport,린창 보상 공항,LNJ,CN,AS
Xigaze Peace Airport,시가제 평화공항,RKZ,CN,AS
Panzhihua Bao'anying Airport,판즈화 바오안잉 공항,PZI,CN,AS
Zigong Fengming Airport,자공 펑밍 공항,ZKL,CN,AS
Foshan Shadi Airport,포산 샤디 공항,FUO,CN,AS
Bazhong Enyang Airport,바종 엔양 공항,BZX,CN,AS
Xinyang Minggang Airport,신양 밍강 공항,XAI,CN,AS
Huizhou Pingtan Airport,후이저우 핑탄 공항,HUZ,CN,AS
Shangluo Airport,상뤄 공항,DFA,CN,AS
Shaoguan Danxia Airport,샤오관 단샤 공항,HSC,CN,AS
Jinggangshan Airport,징강산 공항,JGS,CN,AS
Baise Youjiang Airport,바이써 유장 공항,AEB,CN,AS
Lianyungang Huaguoshan International Airport,연운항 화과산 국제공항,LYG,CN,AS
Dongying Shengli Airport,동잉 성리 공항,DOY,CN,AS
Altay Xuedu Airport,알타이 쉬에두 공항,AAT,CN,AS
Tianshui Maijishan Airport,톈수이 마이지산 공항,THQ,CN,AS
Zhangye Ganzhou Airport,장예 간저우 공항,YZY,CN,AS
Morin Dawa Banner Airport,모린 다와 배너 공항,DWS,CN,AS
Shijiazhuang Luancheng Airport,스자좡 루안청 공항,LCT,CN,AS
Wuhan Hannan Municipal Airport,우한 한난 시립공항,WHN,CN,AS
Beijing Nanjiao Airport,베이징 난자오 공항,NAY,CN,AS
Dandong Langtou Airport,단동 랑터우 공항,DDG,CN,AS
Harbin Pingfang Airport,하얼빈 핑팡 공항,PFA,CN,AS
Penglai Shahekou Airport,펑라이 사허커우 공항,PNJ,CN,AS
Binzhou Daguo Airport,빈저우 다궈 공항,CBZ,CN,AS
Rikaze Dingri Airport,리카제 딩그리 공항,DDR,CN,AS
Tashikuergan Hongqilafu Airport,타시쿠에르간 홍칠라푸 공항,HQL,CN,AS
Jiande Qiandaohu General Airport,장더 첸다오후 종합공항,JDE,CN,AS
Zhaodong Beidahuang General Airport,자오둥 베이다황 종합공항,HLJ,CN,AS
Taiyuan Yaocheng Airport,타이위안 야오청 공항,TYC,CN,AS
Zhanjiang Wuchuan Airport,잔장 우촨 공항,ZHA,CN,AS
Ali Pulan Airport,알리 풀란 공항,APJ,CN,AS
Zhaosu Tianma Airport,자오쑤 톈마 공항,ZFL,CN,AS
Yinchuan Yueyahu Airport,인촨 위에야후 공항,YEH,CN,AS
Longchuan Guangsong Airport,룽촨 광송 공항,LCS,CN,AS
Lanping Fenghua General Airport,란핑 펑화 종합공항,LFH,CN,AS
Bailing Airport,바이링 공항,BKV,CN,AS
Otog Front Banner Oljoq Airport,Otog 전면 배너 Oljoq 공항,OTQ,CN,AS
Nantong Xingdong International Airport,난퉁 싱둥 국제공항,NTG,CN,AS
Bearskin Lake Airport,베어스킨 레이크 공항,XBE,CA,NA
Natuashish Airport,나투아시시 공항,YNP,CA,NA
Parry Sound Area Municipal Airport,패리사운드 지역 시립공항,YPD,CA,NA
Brockville - Thousand Islands Regional Tackaberry Airport,브록빌 – 사우전드 아일랜드 지역 태커베리 공항,XBR,CA,NA
Kingfisher Lake Airport,킹피셔 레이크 공항,KIF,CA,NA
Ogoki Post Airport,오고키 포스트 공항,YOG,CA,NA
La Chorrera Airport,라 초레라 공항,LCR,CO,SA
Las Cruces Airport,라스 크루세스 공항,SNT,CO,SA
Bar River Airport,바 리버 공항,YEB,CA,NA
Cape Orford Airport,케이프 오포드 공항,CPI,PG,OC
Poplar Hill Airport,포플러 힐 공항,YHP,CA,NA
Keewaywin Airport,키웨이윈 공항,KEW,CA,NA
Kirby Lake Airport,커비 레이크 공항,KFM,CA,NA
Lebel-sur-Quevillon Airport,레벨 쉬르 케비용 공항,YLS,CA,NA
Snap Lake Airport,스냅 레이크 공항,YNX,CA,NA
La Sarre Airport,라 사레 공항,SSQ,CA,NA
Chisasibi Airport,치사시비 공항,YKU,CA,NA
Kegaska Airport,케가스카 공항,ZKG,CA,NA
Carutapera Airport,카루타페라 공항,CTP,BR,SA
Donaldson Airport,도날드슨 공항,YAU,CA,NA
La Romaine Airport,라 로메인 공항,ZGS,CA,NA
Fontanges Airport,폰탄헤스 공항,YFG,CA,NA
