airport_name,airport_kr_name,airport_iata_code,airport_continent,airport_iso_country
Chimbu Airport,침부 공항,CMU,OC,PG
Munduku Airport,문두쿠 공항,MDM,OC,PG
Kondobol Airport,콘도볼 공항,KPF,OC,PG
Dinangat Airport,디낭가트 공항,DNU,OC,PG
Doini Airport,도이니 공항,DOI,OC,PG
Daru Airport,다루공항,DAU,OC,PG
Embessa Airport,엠베사 공항,EMS,OC,PG
Edwaki Airport,에드와키 공항,XYR,OC,PG
Eliptamin Airport,엘립타민 공항,EPT,OC,PG
Erume Airport,에루메 공항,ERU,OC,PG
Meselia Airport,메셀리아 공항,MFZ,OC,PG
Feramin Airport,페라민 공항,FRQ,OC,PG
Frieda River Airport,프리다 리버 공항,FAQ,OC,PG
Fuma Airport,푸마 공항,FUM,OC,PG
Goroka Airport,고로카 공항,GKA,OC,PG
Guari Airport,구아리 공항,GUG,OC,PG
Garasa Airport,가라사 공항,GRL,OC,PG
Gurney Airport,거니 공항,GUR,OC,PG
Gusap Airport,구삽공항,GAP,OC,PG
Girua Airport,기루아 공항,PNP,OC,PG
Habi Airport,하비 공항,HBD,OC,PG
Heiweni Airport,헤이웨니 공항,HNI,OC,PG
Honinabi Airport,호니나비 공항,HNN,OC,PG
Hoskins Airport,호스킨스 공항,HKN,OC,PG
Haivaro Airport,하이바로 공항,HIT,OC,PG
Imane Airport,이마네 공항,IMN,OC,PG
Kungim Airport,건김공항,KGM,OC,PG
Imonda Airport,이몬다 공항,IMD,OC,PG
Aropa Airport,아로파 공항,KIE,OC,PG
Ialibu Airport,이알리부 공항,IAL,OC,PG
Witu Airport,위투 공항,WIU,OC,PG
Yongai Airport,용가공항,KGH,OC,PG
Losuia Airport,로수이아 공항,LSA,OC,PG
Kopiago Airport,코피아고 공항,KPA,OC,PG
Kiunga Airport,키운가 공항,UNG,OC,PG
Kanainj Airport,카나인 공항,KNE,OC,PG
Kikori Airport,키코리 공항,KRI,OC,PG
Kar Kar Airport,카르카르 공항,KRX,OC,PG
Kuri Airport,구리 공항,KUQ,OC,PG
Kavieng Airport,카비엥 공항,KVG,OC,PG
Londolovit Airport,론돌로비트 공항,LNV,OC,PG
Lab Lab Airport,랩 랩 공항,LAB,OC,PG
Lowai Airport,로와이 공항,LWI,OC,PG
Leron Plains Airport,레론 플레인스 공항,LPN,OC,PG
Long Island Airport,롱아일랜드 공항,LSJ,OC,PG
Manari Airport,마나리 공항,MRM,OC,PG
Morobe Airport,모로베 공항,OBM,OC,PG
Madang Airport,마당 공항,MAG,OC,PG
Mount Hagen Kagamuga Airport,마운트하겐 카가무가 공항,HGU,OC,PG
Mougulu Airport,무굴루 공항,GUV,OC,PG
Mendi Airport,멘디 공항,MDU,OC,PG
Momote Airport,모모테 공항,MAS,OC,PG
Moro Airport,모로 공항,MXH,OC,PG
Misima Island Airport,미시마섬 공항,MIS,OC,PG
Marawaka Airport,마라와카 공항,MWG,OC,PG
Nankina Airport,난징 공항,NKN,OC,PG
Negarbo(Negabo) Airport,네가보 (네가보) 공항,GBF,OC,PG
Manguna Airport,리드 공항,MFO,OC,PG
Kasonombe Airport,카소놈베 공항,KSB,OC,PG
Nomane Airport,노마네 공항,NMN,OC,PG
Nambaiyufa Airport,남바이유파 공항,NBA,OC,PG
Nadzab Airport,나자브 공항,LAE,OC,PG
Konge Airport,킹 공항,KGB,OC,PG
Oksapmin Airport,옥삽민 공항,OKP,OC,PG
Komako Airport,코마코 공항,HOC,OC,PG
Komaio Airport,코마이오 공항,KCJ,OC,PG
Koroba Airport,코로바 공항,KDE,OC,PG
Open Bay Airport,오픈베이 공항,OPB,OC,PG
Pangoa Airport,판고아 공항,PGB,OC,PG
Pangia Airport,판자 공항,PGN,OC,PG
Mapoda Airport,마포다 공항,MPF,OC,PG
Pumani Airport,숨쉬다 공항,PMN,OC,PG
Port Moresby Jacksons International Airport,포트모르즈비 잭슨스 국제공항,POM,OC,PG
Sopu Airport,소푸 공항,SPH,OC,PG
Sialum Airport,시알룸 공항,SXA,OC,PG
Rumginae Airport,룸기나에 공항,RMN,OC,PG
Karimui Airport,카리무이 공항,KMR,OC,PG
Maramuni Airport,마라무니 공항,MWI,OC,PG
Suabi Airport,수아비 공항,SBE,OC,PG
Simberi Airport,심베리 공항,NIS,OC,PG
Sabah Airport,사바 공항,SBV,OC,PG
Simbai Airport,심바이 공항,SIM,OC,PG
Selbang Airport,셀방 공항,SBC,OC,PG
Sepik Plains Airport,세픽 플레인스 공항,SPV,OC,PG
Sauren Airport,사우렌 공항,SXW,OC,PG
Tabubil Airport,타부빌 공항,TBG,OC,PG
Tapini Airport,타피니 공항,TPI,OC,PG
Tokua Airport,토쿠아 공항,RAB,OC,PG
Tep Tep Airport,텝텝 공항,TEP,OC,PG
Tsewi Airport,츠위 공항,TSW,OC,PG
Tarakbits Airport,타라비트 공항,TRJ,OC,PG
Tawa Airport,타와 공항,TWY,OC,PG
Tekadu Airport,테카두 공항,TKB,OC,PG
Aiyura Airport,아이유라 공항,AYU,OC,PG
Uroubi Airport,우루비 공항,URU,OC,PG
Upiara Airport,우피아라 공항,UPR,OC,PG
Uvol Airport,우볼 공항,UVO,OC,PG
Talasea Airport,탈라시 공항,TLW,OC,PG
Torembi Airport,토렘비 공항,TCJ,OC,PG
Vanimo Airport,바니모 공항,VAI,OC,PG
Tonu Airport,스틸 에어포트,TON,OC,PG
Wabo Airport,와보 공항,WAO,OC,PG
Wapenamanda Airport,와펜나만다 공항,WBM,OC,PG
Wawoi Falls Airport,와워이 폴스 공항,WAJ,OC,PG
Wewak International Airport,웨와크 국제공항,WWK,OC,PG
Wonenara Airport,워네나라 공항,WOA,OC,PG
Wakunai Airport,와쿠나이 공항,WKN,OC,PG
Wasu Airport,기타 공항,WSU,OC,PG
Woitape Airport,와이타페 공항,WTP,OC,PG
Wau Airport,나는 공항,WUG,OC,PG
Yeva Airport,예바 공항,YVD,OC,PG
Sim Airport,심 공항,SMJ,OC,PG
Weam Airport,윔 공항,WEP,OC,PG
Yalumet Airport,얄루메트 공항,KYX,OC,PG
Wasum Airport,와숨 공항,WUM,OC,PG
Zabrat Airport,자브라트 공항,ZXT,AS,AZ
Fuzuli International Airport,푸줄리 국제공항,FZL,AS,AZ
Amazon Bay Airport,아마존 베이 공항,AZB,OC,PG
Zhenjiang Dalu Airport,전장 다루 공항,AZJ,AS,CN
Bali Airport,발리 공항,BAJ,OC,PG
Bambu Airport,밤부 공항,BCP,OC,PG
Benguera Island Airport,벤구에라 아일랜드 공항,BCW,AF,MZ
Milyakburra Airport,밀리약부라 공항,BCZ,OC,AU
Willmar Municipal Airport John L Rice Field (2006),윌마 시립 공항 존 L 라이스 필드(2006),ILL,NA,US
Baindoung Airport,바인둥 공항,BDZ,OC,PG
Aasiaat Airport,아시아트 공항,JEG,NA,GL
Narsarsuaq Airport,나르사수아크 공항,UAK,NA,GL
Neerlerit Inaat Airport,니를레리트 이나트 공항,CNP,NA,GL
Nuuk Airport,누크 공항,GOH,NA,GL
Ilulissat Airport,일루리사트 공항,JAV,NA,GL
Kulusuk Airport,쿨루숙 공항,KUS,NA,GL
Maniitsoq Airport,마니초크 공항,JSU,NA,GL
Paamiut Airport,파미우트 공항,JFR,NA,GL
Qaanaaq Airport,카나크 공항,NAQ,NA,GL
Kangerlussuaq Airport,칸게를루수아크 공항,SFJ,NA,GL
Sisimiut Airport,시시미우트 공항,JHS,NA,GL
Upernavik Airport,우퍼나비크 공항,JUV,NA,GL
Qaarsut Airport,카르수트 공항,JQA,NA,GL
Brighton Downs Airport,브라이튼 다운스 공항,BHT,OC,AU
Akureyri Airport,아쿠레이리 공항,AEY,EU,IS
Bildudalur Airport,빌두달루르 공항,BIU,EU,IS
Hjaltabakki Airport,히얄타바키 공항,BLO,EU,IS
Holt Airport,홀트 공항,FLI,EU,IS
Keflavik International Airport,케플라비크 국제공항,KEF,EU,IS
Rif Airport,리프 공항,OLI,EU,IS
Reykjavik Airport,레이캬비크 공항,RKV,EU,IS
Vestmannaeyjar Airport,베스트마나에야르 공항,VEY,EU,IS
Baleela Airport,발레엘라 공항,BJE,AF,SD
Bahja Airport,바자 공항,BJQ,AS,OM
Bomai Airport,보마이 공항,BMH,OC,PG
Bamburi Airport,밤부리 공항,BMQ,AF,KE
Bamu Airport,바무 공항,BMZ,OC,PG
Bodinumu Airport,보디누무 공항,BNM,OC,PG
Bundi Airport,번디 공항,BNT,OC,PG
Rurrenabaque Airport,루레나바케 공항,RBQ,SA,BO
Baures Airport,바우레스 공항,BVL,SA,BO
Brookings Airport,브루킹스 공항,BOK,NA,US
Bosset Airport,보셋 공항,BOT,OC,PG
Boang Airport,보아 공항,BOV,OC,PG
Pedro Vieira Moreira Airport,페드로 비에이라 모레이라 공항,CJZ,SA,BR
Alenquer Municipal Airport,알렌케르 시립공항,ALT,SA,BR
Bensbach Airport,벤스바흐 공항,BSP,OC,PG
Besakoa Airport,베사코아 공항,BSV,AF,MG
Betong International Airport,베통 국제공항,BTZ,AS,TH
Bulolo Airport,불롤로 공항,BUL,OC,PG
Esperadinha Airport,에스페라디냐 공항,BVR,AF,CV
Hukuntsi Airport,후쿤치 공항,HUK,AF,BW
Bewani Airport,베와니 공항,BWP,OC,PG
Bunsil Airport,분실공항,BXZ,OC,PG
Boundary Airport,경계 공항,BYA,NA,US
Bella Yella Airport,벨라 옐라 공항,BYL,AF,LR
Big Creek Airport,빅 크릭 공항,BGK,NA,BZ
Caye Caulker Airport,케이 콜커 공항,CUK,NA,BZ
Caye Chapel Airport,케이 채플 공항,CYC,NA,BZ
Corozal Municipal Airport,코로잘 시립공항,CZH,NA,BZ
Dangriga Airport,단그리가 공항,DGA,NA,BZ
Independence Airport,인디펜던스 공항,INB,NA,BZ
Melinda Airport,멜린다 공항,MDB,NA,BZ
Orange Walk Airport,오렌지 워크 공항,ORZ,NA,BZ
Placencia Airport,플라센시아 공항,PLJ,NA,BZ
Punta Gorda Airport,푼타 고르다 공항,PND,NA,BZ
Sartaneja Airport,사르타네자 공항,SJX,NA,BZ
John Greif II Airport,존 그리프 2세 공항,SPR,NA,BZ
Matthew Spain Airport,매튜 스페인 공항,SQS,NA,BZ
Santa Cruz Airport,산타 크루즈 공항,STU,NA,BZ
Silver Creek Airport,실버 크릭 공항,SVK,NA,BZ
Sir Barry Bowen Municipal Airport,배리 보웬 경 시립공항,TZA,NA,BZ
Bazaruto Island Airport,바자루토아일랜드 공항,BZB,AF,MZ
Bemolanga Airport,베모랑가 공항,BZM,AF,MG
Primrose Airport,프림로즈 공항,PFM,NA,CA
Saglek Airport,사글렉 공항,YSV,NA,CA
Paradise Skypark Airport,파라다이스 스카이파크 공항,PYS,NA,US
Trail Airport,트레일 공항,YZZ,NA,CA
Merritt Airport,메리트 공항,YMB,NA,CA
Chilko Lake (Tsylos Park Lodge) Airport,칠코 레이크(실로스 파크 로지) 공항,CJH,NA,CA
Anahim Lake Airport,애너하임 레이크 공항,YAA,NA,CA
Douglas Lake Airport,더글라스 레이크 공항,DGF,NA,CA
Duncan Airport,던컨 공항,DUQ,NA,CA
Sechelt-Gibsons Airport,세첼트-깁슨 공항,YHS,NA,CA
Qualicum Beach Airport,퀄리컴비치 공항,XQU,NA,CA
Port McNeill Airport,포트맥네일 공항,YMP,NA,CA
Cache Creek-Ashcroft Regional Airport,캐시 크리크-애시크로프트 지역공항,YZA,NA,CA
Bella Bella (Campbell Island) Airport,벨라 벨라(캠벨 아일랜드) 공항,ZEL,NA,CA
Cherrabun Airport,체라분 공항,CBC,OC,AU
Alberni Valley Regional Airport,앨버니 밸리 지역공항,YPB,NA,CA
Bob Quinn Lake Airport,밥 퀸 레이크 공항,YBO,NA,CA
Tungsten (Cantung) Airport,텅스텐(칸퉁) 공항,TNS,NA,CA
Tumbler Ridge Airport,텀블러 리지 공항,TUX,NA,CA
Williams Harbour Airport,윌리엄스 하버 공항,YWM,NA,CA
Postville Airport,포스트빌 공항,YSO,NA,CA
Black Tickle Airport,블랙 티클 공항,YBI,NA,CA
Charlottetown Airport,샬럿타운 공항,YHG,NA,CA
St. Lewis (Fox Harbour) Airport,세인트루이스(폭스하버) 공항,YFX,NA,CA
Port Hope Simpson Airport,포트 호프 심슨 공항,YHA,NA,CA
Rigolet Airport,리골레 공항,YRG,NA,CA
Kasongo-Lunda Airport,카송고-룬다 공항,KGN,AF,CD
George T Lewis Airport,조지 T 루이스 공항,CDK,NA,US
Diavik Airport,디아빅 공항,DVK,NA,CA
Fairview Airport,페어뷰 공항,ZFW,NA,CA
Jasper-Hinton Airport,재스퍼-힌턴 공항,YJP,NA,CA
Drayton Valley Industrial Airport,드레이튼 밸리 산업공항,YDC,NA,CA
Fort McMurray / Mildred Lake Airport,포트 맥머리 / 밀드레드 레이크 공항,NML,NA,CA
Conklin (Leismer) Airport,콘클린(리스머) 공항,CFM,NA,CA
St. Paul Airport,세인트 폴 공항,ZSP,NA,CA
Kavadja Airport,카바자 공항,KWD,AF,CF
Taltheilei Narrows Airport,탈테일레이 내로우스 공항,GSL,NA,CA
Macmillan Pass Airport,맥밀란 패스 공항,XMP,NA,CA
Great Bear Lake Airport,그레이트 베어 레이크 공항,DAS,NA,CA
Donnelly Airport,도넬리 공항,YOE,NA,CA
Cheadle Airport,치들 공항,TIL,NA,CA
Okoyo Airport,오코요 공항,OKG,AF,CG
Cape Gloucester Airport,케이프 글로스터 공항,CGC,OC,PG
Casiguran Airport,카시구란 공항,CGG,AS,PH
Circle Hot Springs Airport,서클핫스프링스 공항,CHP,NA,US
Laurie River Airport,로리 리버 공항,LRQ,NA,CA
Hatchet Lake Airport,해칫 레이크 공항,YDJ,NA,CA
Kasba Lake Airport,카스바 레이크 공항,YDU,NA,CA
Cluff Lake Airport,클러프 레이크 공항,XCL,NA,CA
Knee Lake Airport,니 레이크 공항,YKE,NA,CA
Summer Beaver Airport,서머 비버 공항,SUR,NA,CA
Crooked Creek Airport,크룩크릭 공항,CKD,NA,US
Tisdale Airport,티스데일 공항,YTT,NA,CA
Wapekeka Airport,와페케카 공항,YAX,NA,CA
Wunnumin Lake Airport,운누민 호수 공항,WNN,NA,CA
Opapimiskan Lake Airport,오피미스칸 호수 공항,YBS,NA,CA
North Spirit Lake Airport,노스 스피릿 레이크 공항,YNO,NA,CA
Cordova Municipal Airport,코르도바 시립공항,CKU,NA,US
North of Sixty Airport,식스티 공항 북쪽,YDW,NA,CA
Chicken Airport,치킨 공항,CKX,NA,US
Caia Airport,카이아 공항,CMZ,AF,MZ
Zhangjiakou Ningyuan Airport,장자커우 닝위안 공항,ZQZ,AS,CN
Baoshan Yunrui Airport,바오산 윤루이 공항,BSD,AS,CN
Lincang Boshang Airport,린창 보상 공항,LNJ,AS,CN
Xigaze Peace Airport,시가제 평화공항,RKZ,AS,CN
Panzhihua Bao'anying Airport,판즈화 바오안잉 공항,PZI,AS,CN
Zigong Fengming Airport,자공 펑밍 공항,ZKL,AS,CN
Foshan Shadi Airport,포산 샤디 공항,FUO,AS,CN
Bazhong Enyang Airport,바종 엔양 공항,BZX,AS,CN
Xinyang Minggang Airport,신양 밍강 공항,XAI,AS,CN
Huizhou Pingtan Airport,후이저우 핑탄 공항,HUZ,AS,CN
Shangluo Airport,상뤄 공항,DFA,AS,CN
Shaoguan Danxia Airport,샤오관 단샤 공항,HSC,AS,CN
Jinggangshan Airport,징강산 공항,JGS,AS,CN
Baise Youjiang Airport,바이써 유장 공항,AEB,AS,CN
Lianyungang Huaguoshan International Airport,연운항 화과산 국제공항,LYG,AS,CN
Dongying Shengli Airport,동잉 성리 공항,DOY,AS,CN
Altay Xuedu Airport,알타이 쉬에두 공항,AAT,AS,CN
Tianshui Maijishan Airport,톈수이 마이지산 공항,THQ,AS,CN
Zhangye Ganzhou Airport,장예 간저우 공항,YZY,AS,CN
Morin Dawa Banner Airport,모린 다와 배너 공항,DWS,AS,CN
Shijiazhuang Luancheng Airport,스자좡 루안청 공항,LCT,AS,CN
Wuhan Hannan Municipal Airport,우한 한난 시립공항,WHN,AS,CN
Beijing Nanjiao Airport,베이징 난자오 공항,NAY,AS,CN
Dandong Langtou Airport,단동 랑터우 공항,DDG,AS,CN
Harbin Pingfang Airport,하얼빈 핑팡 공항,PFA,AS,CN
Penglai Shahekou Airport,펑라이 사허커우 공항,PNJ,AS,CN
Binzhou Daguo Airport,빈저우 다궈 공항,CBZ,AS,CN
Rikaze Dingri Airport,리카제 딩그리 공항,DDR,AS,CN
Tashikuergan Hongqilafu Airport,타시쿠에르간 홍칠라푸 공항,HQL,AS,CN
Jiande Qiandaohu General Airport,장더 첸다오후 종합공항,JDE,AS,CN
Zhaodong Beidahuang General Airport,자오둥 베이다황 종합공항,HLJ,AS,CN
Taiyuan Yaocheng Airport,타이위안 야오청 공항,TYC,AS,CN
Zhanjiang Wuchuan Airport,잔장 우촨 공항,ZHA,AS,CN
Ali Pulan Airport,알리 풀란 공항,APJ,AS,CN
Zhaosu Tianma Airport,자오쑤 톈마 공항,ZFL,AS,CN
Yinchuan Yueyahu Airport,인촨 위에야후 공항,YEH,AS,CN
Longchuan Guangsong Airport,룽촨 광송 공항,LCS,AS,CN
Lanping Fenghua General Airport,란핑 펑화 종합공항,LFH,AS,CN
Bailing Airport,바이링 공항,BKV,AS,CN
Otog Front Banner Oljoq Airport,Otog 전면 배너 Oljoq 공항,OTQ,AS,CN
Nantong Xingdong International Airport,난퉁 싱둥 국제공항,NTG,AS,CN
Bearskin Lake Airport,베어스킨 레이크 공항,XBE,NA,CA
Natuashish Airport,나투아시시 공항,YNP,NA,CA
Parry Sound Area Municipal Airport,패리사운드 지역 시립공항,YPD,NA,CA
Brockville - Thousand Islands Regional Tackaberry Airport,브록빌 – 사우전드 아일랜드 지역 태커베리 공항,XBR,NA,CA
Kingfisher Lake Airport,킹피셔 레이크 공항,KIF,NA,CA
Ogoki Post Airport,오고키 포스트 공항,YOG,NA,CA
La Chorrera Airport,라 초레라 공항,LCR,SA,CO
Las Cruces Airport,라스 크루세스 공항,SNT,SA,CO
Bar River Airport,바 리버 공항,YEB,NA,CA
Cape Orford Airport,케이프 오포드 공항,CPI,OC,PG
Poplar Hill Airport,포플러 힐 공항,YHP,NA,CA
Keewaywin Airport,키웨이윈 공항,KEW,NA,CA
Kirby Lake Airport,커비 레이크 공항,KFM,NA,CA
Lebel-sur-Quevillon Airport,레벨 쉬르 케비용 공항,YLS,NA,CA
Snap Lake Airport,스냅 레이크 공항,YNX,NA,CA
La Sarre Airport,라 사레 공항,SSQ,NA,CA
Chisasibi Airport,치사시비 공항,YKU,NA,CA
Kegaska Airport,케가스카 공항,ZKG,NA,CA
Carutapera Airport,카루타페라 공항,CTP,SA,BR
Donaldson Airport,도날드슨 공항,YAU,NA,CA
La Romaine Airport,라 로메인 공항,ZGS,NA,CA
Fontanges Airport,폰탄헤스 공항,YFG,NA,CA
